 frequency       db(v(vout))     180*cph(v(vout))/pi
 1.12201845e+09 -5.53052853e+01 -3.56355430e+02 
 1.25892541e+09 -5.52849463e+01 -3.56716752e+02 
 1.41253754e+09 -5.52687870e+01 -3.57037393e+02 
 1.58489319e+09 -5.52559454e+01 -3.57320756e+02 
 1.77827941e+09 -5.52457367e+01 -3.57570003e+02 
 1.99526231e+09 -5.52376168e+01 -3.57788020e+02 
 2.23872114e+09 -5.52311528e+01 -3.57977401e+02 
 2.51188643e+09 -5.52260002e+01 -3.58140450e+02 
 2.81838293e+09 -5.52218845e+01 -3.58279184e+02 
 3.16227766e+09 -5.52185864e+01 -3.58395337e+02 
 3.54813389e+09 -5.52159301e+01 -3.58490379e+02 
 3.98107171e+09 -5.52137743e+01 -3.58565518e+02 
 4.46683592e+09 -5.52120040e+01 -3.58621717e+02 
 5.01187234e+09 -5.52105250e+01 -3.58659696e+02 
 5.62341325e+09 -5.52092586e+01 -3.58679943e+02 
 6.30957344e+09 -5.52081372e+01 -3.58682718e+02 
 7.07945784e+09 -5.52071012e+01 -3.58668053e+02 
 7.94328235e+09 -5.52060955e+01 -3.58635754e+02 
 8.91250938e+09 -5.52050665e+01 -3.58585397e+02 
 1.00000000e+10 -5.52039595e+01 -3.58516325e+02 
 1.12201845e+10 -5.52027158e+01 -3.58427638e+02 
 1.25892541e+10 -5.52012694e+01 -3.58318187e+02 
 1.41253754e+10 -5.51995435e+01 -3.58186556e+02 
 1.58489319e+10 -5.51974469e+01 -3.58031054e+02 
 1.77827941e+10 -5.51948688e+01 -3.57849694e+02 
 1.99526231e+10 -5.51916735e+01 -3.57640180e+02 
 2.23872114e+10 -5.51876931e+01 -3.57399887e+02 
 2.51188643e+10 -5.51827193e+01 -3.57125843e+02 
 2.81838293e+10 -5.51764931e+01 -3.56814720e+02 
 3.16227766e+10 -5.51686921e+01 -3.56462819e+02 
 3.54813389e+10 -5.51589153e+01 -3.56066078e+02 
 3.98107171e+10 -5.51466651e+01 -3.55620080e+02 
 4.46683592e+10 -5.51313248e+01 -3.55120093e+02 
 5.01187234e+10 -5.51121339e+01 -3.54561138e+02 
 5.62341325e+10 -5.50881582e+01 -3.53938097e+02 
 6.30957344e+10 -5.50582583e+01 -3.53245888e+02 
 7.07945784e+10 -5.50210547e+01 -3.52479712e+02 
 7.94328235e+10 -5.49748949e+01 -3.51635405e+02 
 8.91250938e+10 -5.49178253e+01 -3.50709919e+02 
 1.00000000e+11 -5.48475743e+01 -3.49701938e+02 
 1.12201845e+11 -5.47615583e+01 -3.48612656e+02 
 1.25892541e+11 -5.46569207e+01 -3.47446691e+02 
 1.41253754e+11 -5.45306214e+01 -3.46213093e+02 
 1.58489319e+11 -5.43795897e+01 -3.44926324e+02 
 1.77827941e+11 -5.42009531e+01 -3.43607048e+02 
 1.99526231e+11 -5.39923405e+01 -3.42282479e+02 
 2.23872114e+11 -5.37522405e+01 -3.40986005e+02 
 2.51188643e+11 -5.34803703e+01 -3.39755843e+02 
 2.81838293e+11 -5.31779848e+01 -3.38632608e+02 
 3.16227766e+11 -5.28480449e+01 -3.37655939e+02 
 3.54813389e+11 -5.24951717e+01 -3.36860630e+02 
 3.98107171e+11 -5.21253543e+01 -3.36272968e+02 
 4.46683592e+11 -5.17454420e+01 -3.35908049e+02 
 5.01187234e+11 -5.13625098e+01 -3.35768686e+02 
 5.62341325e+11 -5.09832248e+01 -3.35846079e+02 
 6.30957344e+11 -5.06133339e+01 -3.36122011e+02 
 7.07945784e+11 -5.02573525e+01 -3.36571956e+02 
 7.94328235e+11 -4.99184720e+01 -3.37168372e+02 
 8.91250938e+11 -4.95986537e+01 -3.37883593e+02 
 1.00000000e+12 -4.92988464e+01 -3.38691925e+02 
